PQJ1,PQJ2,PQJ3,PQJ4,PQJ5,xiashan,julongtan,OT
0,0,0,0,0,1504,411,2393.333333
0,1.5,0,0,0,1272,413,2483.333333
4.2,20.6,3,7.9,6.6,1032,412,2590
14.9,14.8,19,30.8,23.8,1059,410,2446.666667
29.4,45.5,11.8,28,9.6,1098,438,2346.666667
15.7,28.2,5.7,22.2,6.6,1391,1028,3196.666667
20,23.6,16,17,18,2123,1630,4920
22.4,22.4,18.8,26.7,20.6,3338,2415,7553.333333
0.2,0.7,0.2,0.4,0.2,4246,2962,10013.33333
0.5,1.7,0,0.7,0.2,4862,3279,12400
3.4,5.9,2.5,8.3,2.4,5113,3315,13400
3.8,8.6,0,4.1,1.8,5148,3260,12800
1,2.1,0.2,2,0.6,4729,2773,12090
7,4.5,4.3,11.1,7.6,3074,1962,10500
19.3,17.5,15.8,12.3,13.4,2346,1623,8586.666667
20.8,22.8,18.7,25.3,23.8,2476,1556,7613.333333
6.8,8.5,4,4.6,5.2,3057,1929,7763.333333
0,0,0,0,0,3553,1938,8366.666667
0,0,0,0,0,3856,1876,9000
0,0,0,0,0,3885,1937,9220
0,0,0,0,0,3671,1939,9040
0,0,0,0,0,3025,1652,8330
0,0,0,0,0,2251,1203,7220
0,0,0,0,0,2006,1219,5930
0,0,0,0,0,1567,1007,4790
0,0,0,0,0,1555,998,3976.666667
0,0,0,0,0,1324,818,3256.666667
0,0,0,0,0,1278,874,2743.333333
0,0,0,0,0,1162,641,2556.666667
0,0,0,0,0,1062,735,2596.666667
0,0,0,0,0,1024,645,2640
0,0,0,0,0,1013,685,2516.666667
0,0,0,0,0,860,580,2430
0,0,0,0,0,942,557,2370
0,0,0,0,0,881,555,2346.666667
0,0,0,0,0,769,554,2323.333333
0,0,0,0,0,851,459,2306.666667
0,0,0,0,0,750,477,2283.333333
0,0,0,0,0,710,479,2260
0,0,0,0,0,750,457,2156.666667
0,0,0,0,0,624,456,2013.333333
0,0,0,0,0,601,455,1853.333333
0,0,0,0,0,663,420,1716.666667
0,0,0,0,0,678,443,1626.666667
0,0,0,0,0,535,430,1536.666667
0,0,0,0,0,614,422,1473.333333
0,0,0,0,0,629,424,1393.333333
0,0,0,0,0,578,424,1290
0,0,0,0,0,567,425,1256.666667
0,0,0,0,0,602,422,1280
0,0,0,0,0,466,331,1690
0,0,0.7,0.2,1.4,446,248,1660
4.4,1.3,11,4,8.8,485,149,1500
6,0.6,0.8,0.7,1.2,533,288,1400
11.2,0,10.7,5,10.2,418,199,1340
15.1,4.5,20,21.2,12.2,520,156,1410
10.9,9.8,12.2,9.9,12.8,592,336,1426.666667
0.1,1,0,0,0,668,372,1633.333333
1.3,2.5,0.2,0.2,0.4,789,370,2033.333333
1.1,0,2.5,1,2,1229,368,2533.333333
20.1,6.5,36.7,8.3,21.6,1369,368,2963.333333
1.3,0,0.5,0.1,0,1493,355,3543.333333
19,31.7,9,28.7,9.6,1491,353,4036.666667
1.2,0.2,1.8,0,0,1492,378,4390
0.2,0.1,0.2,0.1,0,1891,396,4430
0.3,0,0.8,0,1.6,2328,664,4506.666667
0.2,3.3,0,0,0.2,2748,759,4620
0,0.5,0,0.3,0.2,2102,572,4860
0.1,0,0.2,0,0.2,1641,495,4610
0,0.1,0,0,0,1340,387,4550
0,0,0,0.2,0.2,1230,439,4223.333333
0,0.2,0.2,0,0.6,913,464,3980
4.2,7.2,1.2,7.1,4.4,948,432,3770
9.3,19.3,10.3,14.4,11.4,1114,476,3540
1.1,15.3,0.3,1.8,0.4,1073,479,3340
0,0,0,0,0,838,694,3276.666667
0,0,0,0,0,1006,691,3413.333333
0,0,0,0,0,1029,704,3623.333333
0,0,0,0,0,968,894,3756.666667
0,0,0,0,0,959,970,3753.333333
0,0,0,0,0,865,633,3676.666667
0,0,0,0,0,841,587,3576.666667
0,0,0,0,0,793,550,3436.666667
0,0,0,0,0,742,505,3293.333333
0,0,0,0,0,765,481,3200
0,0,0,0,0,705,629,2953.333333
0,0,0,0,0,819,760,2663.333333
0,0,0,0,0,798,851,2316.666667
0,0,0,0,0,1006,1011,2106.666667
0,0,0,0,0,1068,873,1853.333333
0,0,0,0,0,1216,816,1560
1.5,0.3,0.2,0,0,959,970,3730
0.1,0,0,0.1,0,865,633,3676.666667
1.7,0.2,0.3,1.6,0.8,841,587,3576.666667
0.2,1.7,0.3,0.9,0.6,793,550,3436.666667
6.1,14.7,6.5,4,9.4,742,505,3293.333333
1.8,9.3,0.5,3.4,0,765,481,3200
1.4,0.3,1.8,12,1.6,705,629,2953.333333
5.3,4.3,0.2,0.6,2.2,819,760,2663.333333
18,0.1,37,17.3,34,798,851,2406.666667
3.5,0.6,0,0.1,0,1006,1011,2420
0,1.5,0,0,0,1068,873,2726.666667
0,0,0,0,0,1216,816,3140
7.3,8.3,15.7,12,11.4,1299,524,3643.333333
25.3,37.4,9.7,33.7,15.2,1417,728,4066.666667
24.7,28.1,19,20.1,15.2,1892,1109,4720
0.4,0.5,0,0.3,0,2372,1583,5910
0.2,0,0.2,0,0,3224,2095,7436.666667
1.1,0,0,0,0,3903,2486,9090
0.7,0,0,0,0,4165,2493,9570
0.1,0,0,0,0.2,3909,2292,9760
0,0,0,0,0,2633,1818,9380
0,0,0,0,0,2134,1038,7816.666667
0,0,0,0,0,1851,870,6620
0,0,0,0,0,1560,991,5863.333333
0,0,0,0,0,1324,775,5256.666667
0,0,0,0,0,1270,763,4900
0,0,0,0,0,1294,785,4550
0,0,0,0,0,1218,851,4463.333333
0,0,0,0,0,1107,665,4420
0,0,0,0,0,1124,664,4460
0,0,0,0,0,1126,614,4376.666667
0,0,0,0,0,1006,641,4053.333333
0,0,0,0,0,1036,610,3633.333333
0,0,0,0,0,1047,519,3266.666667
0,0,0,0,0,1027,515,3053.333333
0,0,0,0,0,851,540,2983.333333
0,0,0,0,0,1002,447,2946.666667
0,0,0,0,0,884,467,2930
0,0,0,0,0,846,493,2913.333333
0,0,0,0,0,710,529,2896.666667
0,0,0,0,0,786,409,2843.333333
0,0,0,0,0,813,442,2773.333333
0,0,0,0,0,730,460,2696.666667
0,0,0,0,0,852,430,2656.666667
0,0,0,0,0,973,402,2663.333333
0,0,0,0,0,851,470,2680
0,0,0,0,0,886,458,2670
0,0,0,0,0,812,442,2593.333333
0,0,0,0,0,671,400,2480
0.1,0,0,0,0,432,135,1690
0.7,0.5,1.5,10,3,441,279,1600
9,2.1,5,6.8,5.4,443,264,1496.666667
7,0.2,1.8,4.4,3.8,506,301,1416.666667
10.5,0.2,9.5,7.8,11.4,572,332,1426.666667
3,0.2,1.7,2.2,0.6,546,365,1483.333333
6.7,9.4,1.5,12.8,1.6,473,364,1593.333333
3.6,11.5,1,16.7,3.8,643,363,1773.333333
1.7,11.8,2,5.9,5.2,634,363,2026.666667
3.9,2.6,5.7,6.3,20,717,368,2426.666667
